               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.036742,            0.028427,                   0,             0.99995,                   1,               0.995,             0.93224,           0.0089264,           0.0082324,                   0,            0.070019,           0.0033313,           0.0033313
                   1,            0.022359,             0.01548,                   0,             0.99997,                   1,               0.995,             0.92867,           0.0054093,           0.0062938,                   0,            0.039997,           0.0066426,           0.0066426
                   2,            0.019518,            0.013841,                   0,             0.99993,                   1,               0.995,             0.96829,            0.004476,           0.0059971,                   0,           0.0099526,            0.009932,            0.009932
